horizon,horizon_months,security_id,ticker,company_name,model_version,expected_total_return,expected_price_return,expected_dividend_return,p5,p50,p95,volatility,var_5,cvar_5,expected_shortfall_5,dividend_cut_probability,drawdown_probability,forecast_confidence,selected_distribution
9M,9,ELE.MC,ELE.MC,Endesa SA,student_t,0.2624999999999999,0.2339999999999999,0.0284999999999999,-0.1781911358082971,0.2624999999999999,0.641480784563558,0.1723120744408586,-0.1781911358082971,-0.1086367259704255,-0.1086367259704255,0.2269575407292591,0.2599485269137607,74.28798819847286,student_t
9M,9,ALV.XETRA,ALV.XETRA,Allianz SE VNA O.N.,student_t,0.2624999999999999,0.2330999999999999,0.0294,-0.1542051087696926,0.2624999999999999,0.6201295710089516,0.1626124720041175,-0.1542051087696926,-0.087875970936303,-0.087875970936303,0.2419432753940237,0.2587904932333884,74.93067498773601,student_t
9M,9,HEN3.XETRA,HEN3.XETRA,Henkel AG & Co. KGaA vz. (Pref Shares),student_t,0.2624999999999999,0.2422499999999999,0.02025,-0.1765930029020082,0.2624999999999999,0.6360882566322998,0.1690978338776779,-0.1765930029020082,-0.102499974270344,-0.102499974270344,0.2269575407292591,0.2872365559514946,73.98238811286001,student_t
9M,9,IMB.LSE,IMB.LSE,Imperial Brands PLC,student_t,0.2625,0.216975,0.045525,-0.2224145080029164,0.2625,0.6724122571668378,0.1838252854574529,-0.2224145080029164,-0.1347840347454588,-0.1347840347454588,0.3047308740625924,0.2712235265795365,72.50915959480291,student_t
9M,9,HIG.US,HIG.US,Hartford Financial Services Group,student_t,0.2625,0.249975,0.012525,-0.1679550146383763,0.2625,0.631188433500029,0.1670365001540643,-0.1679550146383763,-0.0975290492023075,-0.0975290492023075,0.2824988309495793,0.2468717211549397,74.48756524531225,student_t
9M,9,NOVN.SW,NOVN.SW,Novartis AG,student_t,0.2271213604596409,0.2048463604596409,0.022275,-0.2087599452612288,0.2271213604596409,0.5980634008130626,0.1672618333601614,-0.2087599452612288,-0.1338447271411371,-0.1338447271411371,0.3181975407292591,0.2483187802265832,72.87441295559097,student_t
9M,9,0728.HK,0728.HK,China Telecom,student_t,0.2625,0.21255,0.04995,-0.245489096407206,0.2625,0.6888058026988507,0.1903551553048742,-0.245489096407206,-0.1495658375432171,-0.1495658375432171,0.2963353185070368,0.2935914053366784,71.61889680816137,student_t
9M,9,1113.HK,1113.HK,CK Asset Holdings Ltd,student_t,0.2624999999999999,0.2339999999999999,0.0284999999999999,-0.2407558931985701,0.2624999999999999,0.6916270120911332,0.1935013197658674,-0.2407558931985701,-0.1549754692174719,-0.1549754692174719,0.2399575407292591,0.2761126356932523,72.21718483674746,student_t
9M,9,3988.HK,3988.HK,Bank of China Ltd H,student_t,0.2624999999999999,0.2261999999999999,0.0363,-0.1615820763799752,0.2624999999999999,0.6238702652319339,0.1632950949639928,-0.1615820763799752,-0.0898210793088238,-0.0898210793088238,0.300276608727357,0.2525142290517527,74.5107503735291,student_t
9M,9,000333.SHE,000333.SHE,Midea Group Co Ltd,student_t,0.2624999999999999,0.2246999999999999,0.0378,-0.1613026721175975,0.2624999999999999,0.6254109479490403,0.1643809931226724,-0.1613026721175975,-0.0918138848749201,-0.0918138848749201,0.295166429618148,0.2421107363227354,74.68092043760862,student_t
9M,9,000538.SHE,000538.SHE,Yunnan Baiyao Group Co Ltd,student_t,0.2292014524480319,0.2058014524480318,0.0234,-0.0867053015753688,0.2292014524480319,0.5019668999713692,0.1252285956112792,-0.0867053015753688,-0.0403110071262323,-0.0403110071262323,0.2364019851737035,0.2457933156117312,76.92412599358839,student_t
9M,9,600018.SHG,600018.SHG,Shanghai International Port Group Co Ltd,student_t,0.2182160312045721,0.1900910312045721,0.0281249999999999,-0.1092834072905031,0.2182160312045721,0.4999752503659966,0.1289318647655569,-0.1092834072905031,-0.0594499045275836,-0.0594499045275836,0.2568544356494338,0.2463130689878934,76.06540581707918,student_t
9M,9,600036.SHG,600036.SHG,China Merchants Bank Co Ltd,student_t,0.2624999999999999,0.1851749999999999,0.077325,-0.1081955175868913,0.2624999999999999,0.5798011192261918,0.1442315826591825,-0.1081955175868913,-0.0484113116327489,-0.0484113116327489,0.2904988309495793,0.245139744791142,76.21046201166072,student_t
9M,9,601818.SHG,601818.SHG,China Everbright Bank Co Ltd,student_t,0.2624999999999999,0.2195999999999999,0.0429,-0.0992744325854976,0.2624999999999999,0.571158471549774,0.1403705171090447,-0.0992744325854976,-0.0403014807121171,-0.0403014807121171,0.2616099420606904,0.2655853140211767,76.34024813993354,student_t
9M,9,ESSITY-B.ST,ESSITY-B.ST,Essity AB (publ),student_t,0.2624999999999999,0.2392499999999999,0.02325,-0.1496559223373832,0.2624999999999999,0.6139921114812782,0.1592473924702485,-0.1496559223373832,-0.0810488190684964,-0.0810488190684964,0.2675130962848147,0.2642031794876198,74.86388624345838,student_t
9M,9,601816.SHG,601816.SHG,Beijing-Shanghai High Speed Railway Co Ltd,student_t,0.2625,0.2427,0.0197999999999999,-0.0736351473970399,0.2625,0.5501516668924494,0.1310253842805142,-0.0736351473970399,-0.0199554643259776,-0.0199554643259776,0.2932908740625924,0.2445617101516659,77.21530720592474,student_t
12M,12,CA.PA,CA.PA,Carrefour SA,student_t,0.35,0.289,0.061,-0.2315310265920176,0.35,0.8390430807307564,0.218454922570916,-0.2315310265920176,-0.1226565048514546,-0.1226565048514546,0.3146367263022666,0.3116428420865303,72.68429548477276,student_t
12M,12,ORA.PA,ORA.PA,Orange S.A.,student_t,0.35,0.3027999999999999,0.0472,-0.2339246268021626,0.35,0.8465001616064692,0.2231188592413986,-0.2339246268021626,-0.1316226938266929,-0.1316226938266929,0.2854251022505119,0.2936657246095884,72.91115690823099,student_t
12M,12,AD.AS,AD.AS,Koninklijke Ahold Delhaize NV,student_t,0.35,0.3076,0.0424,-0.1846775803137036,0.35,0.8079407882790781,0.2074894153793908,-0.1846775803137036,-0.0972584784494939,-0.0972584784494939,0.2331450315818097,0.2974274573961667,74.49560551019287,student_t
12M,12,SHELL.AS,SHELL.AS,Shell PLC,student_t,0.35,0.2785999999999999,0.0713999999999999,-0.2338841838175089,0.35,0.845568882294157,0.2226260332645762,-0.2338841838175089,-0.1307491029702714,-0.1307491029702714,0.2755130962848147,0.3034513223422091,72.8530489767945,student_t
12M,12,ELE.MC,ELE.MC,Endesa SA,student_t,0.35,0.312,0.038,-0.1588662917768045,0.35,0.7876093159709315,0.1989688451261051,-0.1588662917768045,-0.078551777290363,-0.078551777290363,0.2269575407292591,0.2888316965708452,75.36245065133224,student_t
12M,12,ALV.XETRA,ALV.XETRA,Allianz SE VNA O.N.,student_t,0.35,0.3107999999999999,0.0392,-0.1311696134417487,0.35,0.7629550581843773,0.1877687089703354,-0.1311696134417487,-0.054579322275302,-0.054579322275302,0.2419432753940237,0.2875449924815427,76.1198410113432,student_t
12M,12,HEN3.XETRA,HEN3.XETRA,Henkel AG & Co. KGaA vz. (Pref Shares),student_t,0.35,0.3229999999999999,0.027,-0.1570209268495112,0.35,0.7813825610654827,0.1952573598173199,-0.1570209268495112,-0.0714656667983792,-0.0714656667983792,0.2269575407292591,0.319151728834994,75.09075623685875,student_t
12M,12,IMB.LSE,IMB.LSE,Imperial Brands PLC,student_t,0.35,0.2893,0.0607,-0.2099310434588776,0.35,0.8233259040388019,0.2122631560854405,-0.2099310434588776,-0.1087440888100626,-0.1087440888100626,0.3047308740625924,0.3013594739772628,73.43915766392419,student_t
12M,12,HIG.US,HIG.US,Hartford Financial Services Group,student_t,0.35,0.3333,0.0167,-0.1470466371509818,0.35,0.7757247326566863,0.192877136656884,-0.1470466371509818,-0.0657257369460746,-0.0657257369460746,0.2824988309495793,0.2743019123943774,75.623397825892,student_t
12M,12,NOVN.SW,NOVN.SW,Novartis AG,student_t,0.3028284806128545,0.2731284806128545,0.0297,-0.2004838977724848,0.3028284806128545,0.7311554543164487,0.1931373290312791,-0.2004838977724848,-0.1139792550764159,-0.1139792550764159,0.3181975407292591,0.2759097558073147,73.58389410075958,student_t
12M,12,0728.HK,0728.HK,China Telecom,student_t,0.35,0.2834,0.0666,-0.2365752831121903,0.35,0.8422555398905619,0.2198032003138043,-0.2365752831121903,-0.1258126444588501,-0.1258126444588501,0.2963353185070368,0.3262126725963093,72.46722513260305,student_t
12M,12,1113.HK,1113.HK,CK Asset Holdings Ltd,student_t,0.35,0.312,0.038,-0.2311098508189201,0.35,0.8455131918947112,0.2234360781107428,-0.2311098508189201,-0.1320591490655454,-0.1320591490655454,0.2399575407292591,0.306791817436947,73.0356248421734,student_t
12M,12,3988.HK,3988.HK,Bank of China Ltd H,student_t,0.35,0.3016,0.0484,-0.1396878019129482,0.35,0.767274439817567,0.1885569340696135,-0.1396878019129482,-0.0568253399602578,-0.0568253399602578,0.300276608727357,0.2805713656130585,75.68916963597789,student_t
12M,12,000333.SHE,000333.SHE,Midea Group Co Ltd,student_t,0.35,0.2996,0.0504,-0.1393651736607553,0.35,0.7690534669804814,0.1898108212580659,-0.1393651736607553,-0.0591264336203144,-0.0591264336203144,0.295166429618148,0.2690119292474838,75.84832941098739,student_t
12M,12,000538.SHE,000538.SHE,Yunnan Baiyao Group Co Ltd,student_t,0.3056019365973758,0.2744019365973758,0.0312,-0.0591757623510867,0.3056019365973758,0.6205643457038309,0.1446015267728217,-0.0591757623510867,-0.0056042455729434,-0.0056042455729434,0.2364019851737035,0.2731036840130347,78.16365319192013,student_t
12M,12,600018.SHG,600018.SHG,Shanghai International Port Group Co Ltd,student_t,0.2909547082727627,0.2534547082727628,0.0375,-0.0872090696764032,0.2909547082727627,0.6163022303317772,0.1488776936590294,-0.0872090696764032,-0.0296662972067361,-0.0296662972067361,0.2568544356494338,0.2736811877643261,77.12910607853803,student_t
12M,12,600036.SHG,600036.SHG,China Merchants Bank Co Ltd,student_t,0.35,0.2468999999999999,0.1031,-0.0780423137323588,0.35,0.7163877731988229,0.1665442861478496,-0.0780423137323588,-0.0090094589305344,-0.0090094589305344,0.2904988309495793,0.27237749421238,77.61767103673982,student_t
12M,12,601818.SHG,601818.SHG,China Everbright Bank Co Ltd,student_t,0.35,0.2927999999999999,0.0572,-0.0677411320783223,0.35,0.706408103273841,0.1620859116783879,-0.0677411320783223,0.0003549671996838,0.0003549671996838,0.2616099420606904,0.295094793356863,77.77958673679487,student_t
12M,12,ESSITY-B.ST,ESSITY-B.ST,Essity AB (publ),student_t,0.35,0.3189999999999999,0.031,-0.1259166654191734,0.35,0.7558681303634919,0.1838830498208879,-0.1259166654191734,-0.0466960063379488,-0.0466960063379488,0.2675130962848147,0.2935590883195776,76.09077241240652,student_t
12M,12,601816.SHG,601816.SHG,Beijing-Shanghai High Speed Railway Co Ltd,student_t,0.35,0.3236,0.0264,-0.0381354356675511,0.35,0.6821515346264004,0.1512950817700581,-0.0381354356675511,0.0238485232746321,0.0238485232746321,0.2932908740625924,0.2717352335018509,77.92800236042395,student_t
