date,period_start,strategy,strategy_label,gross_return,pre_bank_fee_return,net_return,turnover,transaction_cost_usd,transaction_cost_return,bank_fee_usd,bank_fee_return,bank_fee_assessment_aum_usd,total_cost_usd,gross_value_usd,pre_bank_fee_value_usd,net_value_usd,live_weight,available_target_weight,cash_weight,unfilled_target_weight,holding_count,maximum_adv_participation,liquidity_breaches,initial_capital_usd,capital_source,evidence_type
2011-07-31,2011-06-30,current_portfolio,Current Portfolio,-0.021151686971845687,-0.02115535545867797,-0.02115535545867797,0.000844261370192164,4545.86628994037,3.7477582414917953e-06,0.0,0.0,0.0,4545.86628994037,1245577129.2897513,1229640609.7089787,1187295600.7263312,1.0000000000000002,0.9999999999999998,-2.220446049250313e-16,0.1801093687660412,8,0.05000000000000044,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2011-08-31,2011-07-31,current_portfolio,Current Portfolio,-0.0596662388176125,-0.059672658203808404,-0.059672658203808404,0.0015119926742666173,8105.323135631469,6.826710324432278e-06,0.0,0.0,0.0,8105.323135631469,1171258226.827793,1156264685.8922923,1116446516.1573036,1.0,0.9999999999999998,0.0,0.18134697909793016,8,0.050000000000000336,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2011-09-30,2011-08-31,current_portfolio,Current Portfolio,-0.06505546026455097,-0.06506010519800653,-0.06506010519800653,0.0010924471775227759,5546.660313878557,4.968137956997352e-06,0.0,0.0,0.0,5546.660313878557,1095061483.7928689,1081037983.7913997,1043810388.3681614,0.9999999999999999,0.9999999999999998,1.1102230246251565e-16,0.17294418334575984,8,0.04999999999999942,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2011-10-31,2011-09-30,current_portfolio,Current Portfolio,0.07948024483952638,0.07947625280684378,0.07947625280684378,0.0008189637494954737,3860.1217620947214,3.6981062893323313e-06,0.0,0.0,0.0,3860.1217620947214,1182097238.6390612,1166954831.8850057,1126768526.6765192,1.0,0.9999999999999998,0.0,0.1770852742481958,8,0.0499999999999999,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2011-11-30,2011-10-31,current_portfolio,Current Portfolio,-0.057281907022377475,-0.05728523542661934,-0.05728523542661934,0.0007794689848518409,3978.221243159668,3.5306464007241165e-06,0.0,0.0,0.0,3978.221243159668,1114384454.5239294,1100105549.6082423,1062221326.3545498,1.0,0.9999999999999998,0.0,0.15720280694570699,8,0.0499999999999996,7,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2011-12-31,2011-11-30,current_portfolio,Current Portfolio,0.012198419897433335,0.01217488354780727,0.009644446338937795,0.006551760658540379,24699.517432597066,2.3252703386556584e-05,2687884.3682622844,0.0025,1075153747.3049138,2712583.8856948814,1127978184.0273845,1113499206.5650191,1072465862.9366515,1.0,0.9999999999999998,0.0,0.14170628513565856,8,0.05000000000000025,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2012-01-31,2011-12-31,current_portfolio,Current Portfolio,0.006258609102831972,0.006240104889631226,0.006240104889631226,0.0036792278331510084,19721.706526327536,1.838912286897887e-05,0.0,0.0,0.0,19721.706526327536,1135037758.5577343,1120447558.408506,1079158162.411925,0.9999999999999999,0.9999999999999998,1.1102230246251565e-16,0.14023212206699387,8,0.05000000000000015,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2012-02-29,2012-01-31,current_portfolio,Current Portfolio,0.06938468596183711,0.0693663829817448,0.0693663829817448,0.003682365199768833,18470.257356630234,1.7115431268526104e-05,0.0,0.0,0.0,18470.257356630234,1213791996.99009,1198168952.8560312,1154015460.8036666,1.0,0.9999999999999998,0.0,0.1481729134484475,8,0.04999999999999965,5,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2012-03-31,2012-02-29,current_portfolio,Current Portfolio,0.03753911376929525,0.0375314319509088,0.0375314319509088,0.001789186987316553,8544.195652337006,7.403883173616021e-06,0.0,0.0,0.0,8544.195652337006,1259356672.857361,1243137949.375839,1197327313.541116,1.0,0.9999999999999998,0.0,0.15267376047357198,8,0.05000000000000011,5,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2012-04-30,2012-03-31,current_portfolio,Current Portfolio,0.016228580943437362,0.016212607684688463,0.016212607684688463,0.0033524724512099535,18819.800333008352,1.5718175072235237e-05,0.0,0.0,0.0,18819.800333008352,1279794244.5594847,1263292457.2470176,1216739111.54572,1.0,0.9999999999999998,0.0,0.15361702576881975,8,0.049999999999999885,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2012-05-31,2012-04-30,current_portfolio,Current Portfolio,-0.05514543644383449,-0.055163148496308656,-0.055163148496308656,0.003945745543564309,22808.74519980634,1.8745797668023167e-05,0.0,0.0,0.0,22808.74519980634,1209219432.3849444,1193605267.8336337,1149619951.254257,1.0,0.9999999999999998,0.0,0.16390715258780197,8,0.05000000000000022,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2012-06-30,2012-05-31,current_portfolio,Current Portfolio,0.028527440176815393,0.028521508026107867,0.028521508026107867,0.0012714803972217019,6630.5657397422165,5.767615404123897e-06,0.0,0.0,0.0,6630.5657397422165,1243715367.4029486,1227648690.0601554,1182408845.920929,1.0,0.9999999999999998,0.0,0.17796060736251862,8,0.05000000000000023,7,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2012-07-31,2012-06-30,current_portfolio,Current Portfolio,0.06413673360714732,0.0641097902667429,0.0641097902667429,0.005108094682539236,29937.923413908564,2.5319434573910992e-05,0.0,0.0,0.0,29937.923413908564,1323483208.6051867,1306352990.1011536,1258212829.0424612,1.0,0.9999999999999998,0.0,0.15681377783143882,8,0.050000000000000544,6,186060522.0,current_portfolio_nav,retrospective_holdings_replay
2012-08-31,2012-07-31,current_portfolio,Current Portfolio,-0.001599010453324325,-0.00162274064152923,-0.00162274064152923,0.004731419803765428,29905.446356398457,2.376819379528774e-05,0.0,0.0,0.0,29905.446356398457,1321366945.1198277,1304233118.0119333,1256171075.9490805,1.0,0.9999999999999998,0.0,0.1662570162291582,8,0.050000000000000044,7,186060522.0,current_portfolio_nav,retrospective_holdings_replay
