strategy,strategy_label,window,initial_capital_usd,capital_source,evidence_type,full_investment_start,start_date,end_date,observations,years,cumulative_return,cagr,annualised_arithmetic_return,annualised_volatility,sharpe,lo_adjusted_sharpe,sortino,maximum_drawdown,maximum_drawdown_duration_months,calmar,monthly_var_5_loss,monthly_expected_shortfall_5,skewness,pearson_kurtosis,positive_month_ratio,worst_month,best_month,ending_value_usd,pnl_usd,gross_cagr,pre_bank_fee_cagr,annualised_transaction_cost_drag,annualised_bank_fee_drag,annualised_cost_drag,total_transaction_cost_usd,total_bank_fee_usd,total_modeled_cost_usd,ending_value_before_bank_fee_usd,ending_value_bank_fee_drag_usd,annualised_turnover,average_live_weight,minimum_live_weight,liquidity_breach_count,maximum_adv_participation,probabilistic_sharpe_ratio,minimum_track_record_months,deflated_sharpe_ratio,cluster_adjusted_deflated_sharpe_ratio,sidak_significant
final_portfolio,Final Resolved Portfolio,common_investable_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2012-12-31,2013-09-30,2026-07-31,155,12.916666666666666,2.1342750554073144,0.09247275425331392,0.0959124391634864,0.12056191609190738,0.6447500769892972,0.7085363652019663,1.1063164040741404,-0.19914796950091196,22,0.46434193873561164,0.0511758612601582,0.06696370241097234,0.2293908117955723,4.450139568281186,0.6451612903225806,-0.0816582466609258,0.1439508663165303,583164852.9006639,397104330.90066385,0.09624536257886596,0.09522846815689712,0.0010168944219688392,0.0027557139035832012,0.0037726083255520404,16706864.94328284,45476810.861058086,62183675.80434093,602453573.3820901,19288720.48142624,0.19884910959692187,0.895239364371345,0.8134441607238613,1203,0.05000000000000242,0.9996568178221152,83.86242867326199,0.9892073198385397,0.9978592595697097,True
drl_baseline,DRL Baseline Portfolio,common_investable_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2012-12-31,2013-09-30,2026-07-31,155,12.916666666666666,2.1342750554073118,0.09247275425331392,0.09591243916348632,0.12056191609190735,0.6447500769892969,0.708536365201966,1.10631640407414,-0.19914796950091185,22,0.4643419387356119,0.05117586126015816,0.06696370241097231,0.22939081179557283,4.450139568281186,0.6451612903225806,-0.08165824666092569,0.1439508663165303,583164852.9006634,397104330.9006634,0.09624536257886596,0.09522846815689712,0.0010168944219688392,0.0027557139035832012,0.0037726083255520404,16706864.943282833,45476810.86105806,62183675.80434089,602453573.38209,19288720.481426597,0.19884910959692173,0.8952393643713447,0.8134441607238604,1203,0.05000000000000237,0.9996568178221152,83.86242867326206,0.9892073198385396,0.9978592595697097,True
drl_challenger_raw,DRL Raw Challenger,common_investable_window,186060522.0,current_portfolio_nav,research_challenger_replay,2011-08-31,2013-09-30,2026-07-31,155,12.916666666666666,2.0924126562818954,0.09133607561386126,0.09423407983448219,0.11512040455393267,0.6606351288232751,0.721842838859851,1.13913582613836,-0.18625350937095086,22,0.4903857968761932,0.04650305341480708,0.06364601216318942,0.23566796138132642,4.503888721300179,0.6516129032258065,-0.07899871113829215,0.1382253370761204,575375913.067216,389315391.06721604,0.09508788358298692,0.09408892229616272,0.000998961286824196,0.0027528466823014686,0.0037518079691256645,15393683.508189542,42652993.95106926,58046677.4592588,594407007.1115435,19031094.044327497,0.20427322258774183,0.8582578944534893,0.7761282502773418,1597,0.050000000000002875,0.9996819489573572,82.85797165021049,0.9898133568319014,0.9979984853031848,True
trend_risk_controlled_indices,Trend and Risk-Controlled Regional Indices,common_investable_window,100000.0,fixed_research_capital,point_in_time_index_challenger,1998-01-31,2013-09-30,2026-07-31,155,12.916666666666666,0.5657658112411206,0.035322431649344566,0.03867079933191446,0.08836715553213867,0.23152652919537864,0.22215716339345407,0.3303094496360501,-0.23302351883128913,120,0.15158311841869612,0.041887779105097014,0.06424321013163257,-0.5333740965494285,5.672522483443265,0.6709677419354839,-0.08345703604298638,0.09821897386111833,156576.58112411207,56576.58112411206,0.040143281987065516,0.037933986407557185,0.0022092955795083302,0.0026115547582126197,0.00482085033772095,7562.570675832165,9082.629188163748,16645.199863995913,161755.49732974105,5178.916205628979,1.4403337729541221,0.5688078906557171,0.0,0,,0.9387001158552625,401.6463419827269,0.6758206626147889,0.843817876114549,False
common_index,S&P 500 Index,common_investable_window,100000.0,fixed_research_capital,common_market_benchmark,1997-01-31,2013-09-30,2026-07-31,155,12.916666666666666,3.5865633472848453,0.12515389371471763,0.12889089544253862,0.14446555094943783,0.7665227502408477,1.0435329006234708,1.232018801708232,-0.2476952223905884,23,0.5052737493554219,0.06353989218915654,0.08768251649240998,-0.371413227922895,3.758096791528181,0.6645161290322581,-0.12511928240892822,0.1268440381652789,458656.3347284845,358656.3347284845,0.12515389371471763,0.12515389371471763,0.0,0.0,0.0,0.0,0.0,0.0,458656.3347284845,0.0,0.0,1.0,1.0,0,,,,,,
total_return_proxy,SPDR S&P 500 ETF adjusted-close proxy,common_investable_window,100000.0,fixed_research_capital,common_market_benchmark,1997-01-31,2013-09-30,2026-07-31,155,12.916666666666666,4.692495198442298,0.14412913682075112,0.14577172710424008,0.1444177642826063,0.8836470912458312,1.2063184814063523,1.4542371481147212,-0.23927184023145598,23,0.60236564687817,0.061796395849861595,0.08595443281990758,-0.37737275831627104,3.740929761030283,0.6967741935483871,-0.12487118442299716,0.1269836934642723,569249.5198442298,469249.5198442298,0.14412913682075112,0.14412913682075112,0.0,0.0,0.0,0.0,0.0,0.0,569249.5198442298,0.0,0.0,1.0,1.0,0,,,,,,
region_index_us,S&P 500 Index,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,1997-01-31,2013-09-30,2026-07-31,155,12.916666666666666,3.5865633472848453,0.12515389371471763,0.12889089544253862,0.14446555094943783,0.7665227502408477,1.0435329006234708,1.232018801708232,-0.2476952223905884,23,0.5052737493554219,0.06353989218915654,0.08768251649240998,-0.371413227922895,3.758096791528181,0.6645161290322581,-0.12511928240892822,0.1268440381652789,458656.3347284845,358656.3347284845,0.12515389371471763,0.12515389371471763,0.0,0.0,0.0,0.0,0.0,0.0,458656.3347284845,0.0,0.0,1.0,1.0,0,,,,,,
region_index_uk,FTSE 100 Index,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,1997-01-31,2013-09-30,2026-07-31,155,12.916666666666666,0.47581724696148675,0.03059111363149758,0.0419871499664761,0.15331971196301605,0.15520550514149142,0.17592494833417713,0.21876217345345106,-0.38763425404295515,130,0.07891746746433732,0.06716184066222766,0.09758338015978396,-0.40170521314709184,4.36033937692722,0.5741935483870968,-0.1599276315428172,0.15870187817563952,147581.72469614868,47581.724696148674,0.03059111363149758,0.03059111363149758,0.0,0.0,0.0,0.0,0.0,0.0,147581.72469614868,0.0,0.0,1.0,1.0,0,,,,,,
region_index_dach,DAX Performance Index,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,1997-01-31,2013-09-30,2026-07-31,155,12.916666666666666,1.7609232260578676,0.08179791904686096,0.09666527209701262,0.18918775404423008,0.41531192754089746,0.44639636061775323,0.6490143635004694,-0.3697539160969029,35,0.22122259017649956,0.0801810275575364,0.10991910148186236,-0.10610135853868373,3.505090589439581,0.5806451612903226,-0.16323844028809353,0.1798272971402104,276092.3226057867,176092.32260578676,0.08179791904686096,0.08179791904686096,0.0,0.0,0.0,0.0,0.0,0.0,276092.3226057867,0.0,0.0,1.0,1.0,0,,,,,,
region_index_eu_ex_dach,STOXX Europe 600 Index,common_investable_window,100000.0,fixed_research_capital,standalone_market_benchmark,2004-04-30,2013-09-30,2026-07-31,155,12.916666666666666,0.9059879895001965,0.05120331562279046,0.06257733565315783,0.15856899955741802,0.2800872542718006,0.30953912728702054,0.4165509231281069,-0.317121248213741,43,0.1614628975863491,0.06729791405317813,0.0956411814839617,-0.18515028735390107,3.8621518870277596,0.5741935483870968,-0.14682175284455168,0.1666738301184707,190598.79895001964,90598.79895001966,0.05120331562279046,0.05120331562279046,0.0,0.0,0.0,0.0,0.0,0.0,190598.79895001964,0.0,0.0,1.0,1.0,0,,,,,,
