strategy,strategy_label,window,initial_capital_usd,capital_source,evidence_type,full_investment_start,start_date,end_date,observations,years,cumulative_return,cagr,annualised_arithmetic_return,annualised_volatility,sharpe,lo_adjusted_sharpe,sortino,maximum_drawdown,maximum_drawdown_duration_months,calmar,monthly_var_5_loss,monthly_expected_shortfall_5,skewness,pearson_kurtosis,positive_month_ratio,worst_month,best_month,ending_value_usd,pnl_usd,gross_cagr,pre_bank_fee_cagr,annualised_transaction_cost_drag,annualised_bank_fee_drag,annualised_cost_drag,total_transaction_cost_usd,total_bank_fee_usd,total_modeled_cost_usd,ending_value_before_bank_fee_usd,ending_value_bank_fee_drag_usd,annualised_turnover,average_live_weight,minimum_live_weight,liquidity_breach_count,maximum_adv_participation
optimised_risk_parity,Risk-Parity Optimiser,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2010-08-31,2014-08-31,2026-07-31,144,12.0,2.072133167447459,0.09804465712408894,0.10153733100968376,0.12436048507222024,0.6597613422003877,0.7379738644163473,1.1147996493638397,-0.2355448615387129,22,0.41624621519487,0.04692708280664099,0.07000273294700035,-0.06976995502919373,3.422704004166262,0.6111111111111112,-0.08616007566210315,0.11595682194615398,307213.3167447459,207213.3167447459,0.10138330914975024,0.10079664874595395,0.0005866604037962908,0.002751991621865013,0.003338652025661304,6987.761879859979,32790.586769771806,39778.348649631786,316581.24652743025,9367.929782684369,0.24322121278253322,0.9562499999999997,0.8499999999999998,0,0.0013748396743277365
optimised_score_weighted,Score-Weighted Optimiser,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2006-10-31,2014-08-31,2026-07-31,144,12.0,2.120908743033456,0.09948697567986864,0.10571331786207908,0.1464893140301142,0.5878684383503893,0.6178951541721391,1.0194267846958618,-0.2758316064620291,37,0.36068011550940227,0.06411040518730081,0.07619709863008588,0.3447144468040198,4.2072950718036815,0.6180555555555556,-0.09702412658615811,0.15488318386715716,312090.8743033456,212090.8743033456,0.10290017544329788,0.10224258213520665,0.0006575933080912311,0.002755606455338011,0.003413199763429242,6279.261102625799,26650.02488091583,32929.28598354163,321607.5366253746,9516.662322028948,0.2777891726619524,0.9961805555555555,0.9500000000000001,0,0.005280149576915773
final_portfolio,Final Resolved Portfolio,common_investable_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2014-08-31,2014-08-31,2026-07-31,144,12.0,1.714924612061651,0.08679212099693401,0.09105119750226635,0.12361894536000592,0.5792427201556462,0.6156360595364706,0.971362351110939,-0.20401055785906008,37,0.4254295557433553,0.049103185904176526,0.06740931217119032,0.0756513335949668,3.620009332144266,0.6111111111111112,-0.08346148855625857,0.11807586072024967,505140290.51083827,319079768.51083827,0.09063394100029254,0.08951591077386878,0.0011180302264237607,0.0027237897769347708,0.0038418200033585315,13637762.026049618,33466580.68490995,47104342.71095957,520543655.25443834,15403364.74360007,0.21780514525994493,0.926416635128661,0.7982294492509339,1007,0.050000000000010744
drl_baseline,DRL Baseline Portfolio,common_investable_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2014-08-31,2014-08-31,2026-07-31,144,12.0,1.7149246120616524,0.08679212099693401,0.09105119750226638,0.12361894536000606,0.5792427201556458,0.61563605953647,0.971362351110938,-0.20401055785906064,37,0.4254295557433541,0.04910318590417664,0.06740931217119042,0.07565133359496756,3.620009332144271,0.6111111111111112,-0.08346148855625868,0.11807586072024989,505140290.5108385,319079768.5108385,0.09063394100029254,0.08951591077386878,0.0011180302264237607,0.0027237897769347708,0.0038418200033585315,13637762.026049638,33466580.684909984,47104342.71095962,520543655.25443846,15403364.743599951,0.21780514525994493,0.9264166351286625,0.7982294492509348,1007,0.05000000000001079
drl_challenger_raw,DRL Raw Challenger,common_investable_window,186060522.0,current_portfolio_nav,research_challenger_replay,2014-07-31,2014-08-31,2026-07-31,144,12.0,1.632790345761458,0.0840134972861486,0.08779103543990353,0.11787100934105608,0.579859755173841,0.6162599005347984,0.9742413605049627,-0.19312313102825684,36,0.4350255551410677,0.046660282101451844,0.0642091825816982,0.07385063350386371,3.6101598095347285,0.6180555555555556,-0.07964739198614312,0.11246984139440253,489858346.0489374,303797824.0489374,0.08781211525130006,0.08673032309388296,0.0010817921574171052,0.0027168258077343577,0.003798617965151463,12438724.614153266,31425759.136523813,43864483.75067708,504795714.77329135,14937368.72435397,0.2144761930890851,0.8839922432380397,0.7604051670881994,935,0.0500000000000106
trend_risk_controlled_indices,Trend and Risk-Controlled Regional Indices,common_investable_window,100000.0,fixed_research_capital,point_in_time_index_challenger,1998-01-31,2014-08-31,2026-07-31,144,12.0,0.41826969022339044,0.02954792697985531,0.033219262916054045,0.09013375001189496,0.151456267216612,0.14566193740048955,0.2137400175625978,-0.2330235188312889,120,0.1268023379273071,0.043738668513940086,0.06424321013163257,-0.5045544714027081,5.5758777941853825,0.6597222222222222,-0.08345703604298638,0.09821897386111833,141826.96902233904,41826.96902233904,0.034387345446334594,0.032128247598852244,0.0022590978474823498,0.002580320618996934,0.004839418466479284,7261.990443443186,8466.386886571345,15728.377330014531,146151.73300448144,4324.763982142409,1.4917267779431092,0.5661305804014857,0.0,0,
current_portfolio,Current Portfolio,portfolio_investable_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2000-09-30,2000-09-30,2026-07-31,311,25.916666666666668,24.44705052071119,0.13301801412169145,0.14045160046965868,0.17281164858247586,0.7084278429348935,0.6552682563192911,1.1489974157873002,-0.42574156738327396,23,0.31243839998818335,0.07014766609365303,0.10033624359740448,-0.3084820122310337,3.441445092233228,0.6205787781350482,-0.1696465823738128,0.14991949184526177,4734691503.243896,4548630981.243896,0.13652308858235762,0.13586680042514065,0.0006562881572169665,0.0028487863034492023,0.003505074460666169,31842006.669153243,153086335.1383385,184928341.80749175,5053079996.934045,318388493.6901493,0.1378450345959248,0.980669976674374,0.7907271710884155,1546,0.05000000000000701
portfolio_aware_overlay,Portfolio-Aware Overlay,portfolio_investable_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2001-10-31,2001-10-31,2026-07-31,298,24.833333333333332,28.72153055180368,0.14635281601804406,0.15046980403121996,0.16176215083699844,0.8269895187896432,0.71497187391314,1.3376531741174111,-0.4739079988372914,33,0.308821155956669,0.0673955711986408,0.09511329883064995,-0.4423094696470698,4.089422767513675,0.6610738255033557,-0.19031081023627527,0.1530188324314914,5530003489.107541,5343942967.107541,0.1500594748831947,0.14924518733858783,0.0008142875446068842,0.002892371320543763,0.003706658865150647,39458643.02360324,138549692.69732666,178008335.7209299,5887118753.070437,357115263.96289635,0.1588553134844297,0.96752915799671,0.7766673788220853,1793,0.05000000000000546
clean_sheet,Clean-Sheet Quant,portfolio_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2006-10-31,2006-10-31,2026-07-31,238,19.833333333333332,5.117632498849549,0.09561928088934102,0.09890027826384576,0.12063045007914724,0.69408952269223,0.5785230666047425,1.1392314493830196,-0.3603410041450431,39,0.26535775776118087,0.046192782901400296,0.07026955547062799,-0.1806641543467481,4.30639279714365,0.6386554621848739,-0.12718325651394502,0.11622370287449302,611763.2498849549,511763.2498849549,0.09887091753373656,0.09838829790783632,0.000482619625900238,0.002769017018495301,0.003251636644395539,4265.680445666412,25962.876620504663,30228.557066171074,643169.2863718225,31406.036486867582,0.2626683133767304,0.648529411764706,0.55,0,0.006108887540670874
llm_benchmark,LLM Analyst Benchmark,portfolio_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2007-09-30,2007-09-30,2026-07-31,227,18.916666666666668,1.7130998066714556,0.05417931448163715,0.05490559890514331,0.06390609749358114,0.641082707578296,0.6676168772163195,1.088738032915333,-0.13286052275561477,43,0.40779091755716806,0.0255547110477821,0.03461176380243983,-0.08847355733193181,3.3301523312171417,0.6299559471365639,-0.05445311144007514,0.05348245553057418,271309.9806671456,171309.98066714554,0.05712194211500421,0.05683302154053793,0.00028892057446627817,0.0026537070589007783,0.0029426276333670565,1471.3735304936904,13768.11974628436,15239.49327677805,284525.1019366498,13215.121269504249,0.1854867716346313,0.2797356828193832,0.2,0,0.005056428919796106
