security_id,ticker,company_name,p5_return_3m,p50_return_3m,p95_return_3m,forecast_spread_3m,p5_return_6m,p50_return_6m,p95_return_6m,forecast_spread_6m,p5_return_9m,p50_return_9m,p95_return_9m,forecast_spread_9m,p5_return_12m,p50_return_12m,p95_return_12m,forecast_spread_12m,downside_risk_score,upside_potential_score,forecast_uncertainty_score,distribution_family,distribution_degrees_of_freedom,distribution_skewness
BATS.LSE,BATS.LSE,British American Tobacco PLC,-0.24117805420709146,0.0875,0.3618332089857875,0.603011263192879,-0.2898209619140681,0.175,0.5629657447570334,0.8527867066711015,-0.30678708921956,0.26249999999999996,0.7376590561667948,1.0444461453863547,-0.3073561084141829,0.35,0.8986664179715751,1.206022526385758,87.81603097548084,100,42.737504570118276,student_t,9.753911732890465,0.6398219163528291
BBY.LSE,BBY.LSE,Balfour Beatty plc,-0.2369656360230334,0.06492682509443914,0.32006340790473564,0.557029043927769,-0.29708676270164364,0.1298536501888783,0.4906712658567259,0.7877580285583695,-0.3281126057941567,0.19478047528331743,0.6366899995802552,0.9648026053744119,-0.3440776218571885,0.2597073003777566,0.7699804659983496,1.114058087855538,98.30789195919672,100,39.47858483521733,student_t,10.05922972207688,0.6668032200837395
BEZ.LSE,BEZ.LSE,Beazley plc,-0.6110774904215472,0.0875,0.6560063619116849,1.2670838523332322,-0.8129377613227131,0.175,0.978989407310892,1.7919271686336051,-0.9474717064340805,0.2625,1.2471819032571783,2.194653609691259,-1.0471549808430947,0.35,1.4870127238233697,2.5341677046664643,100,100,89.80263758770543,student_t,9.068708241956466,0.584010000993163
BGEO.LSE,BGEO.LSE,Lion Finance Group PLC,-0.5029206089506892,-0.04360018486939064,0.3234295758292492,0.8263501847799384,-0.7367775429495155,-0.08720036973878129,0.4318580956357868,1.1686356385853023,-0.9263668660710644,-0.13080055460817194,0.504913638811719,1.4312805048827835,-1.0930415876401598,-0.17440073947756257,0.5596587819197172,1.652700369559877,100,100,58.56631037296975,student_t,8.617856291075,0.5428130791604484
BHP.LSE,BHP.LSE,BHP Group Limited,-0.31593430305875125,0.0875,0.4257171085592355,0.7416514116179868,-0.39554226291222344,0.175,0.6533112219510842,1.0488534848633075,-0.43626871041389736,0.26249999999999996,0.8483092160136344,1.2845779264275317,-0.4568686061175026,0.35,1.0264342171184708,1.4833028232359733,100,100,52.563413866649434,student_t,9.838269172533334,0.649406507621777
BKG.LSE,BKG.LSE,The Berkeley Group Holdings plc,-0.39618882697350233,0.027644071637571502,0.367748748523428,0.7639375754969303,-0.5441020901205387,0.055288143275143004,0.5362687899536406,1.0803708800741791,-0.651167899400854,0.0829322149127145,0.6720107951708143,1.3231786945716681,-0.7370895106718616,0.11057628655028601,0.790785640321999,1.5278751509938606,100,100,54.142911777822135,student_t,8.721110739852445,0.5523933048983697
BLND.LSE,BLND.LSE,British Land Company PLC,-0.32997239066268724,0.02044921495357334,0.3069125923110433,0.6368849829737305,-0.454672557303925,0.04089842990714668,0.44601882328928255,0.9006913805932075,-0.5456003801365067,0.061347644860720016,0.5575167689516338,1.1031171490881406,-0.6190463514182278,0.08179685981429335,0.6547236145292332,1.273769965947461,100,100,45.13825285179339,student_t,9.218256917415587,0.5940574016267939
BNC.LSE,BNC.LSE,Banco Santander S.A.,-0.5478582652050721,-0.0625,0.3160059869461407,0.8638642521512128,-0.8114002412628906,-0.125,0.4102883001786459,1.2216885414415364,-1.0281651752086745,-0.18749999999999997,0.46809160035971786,1.4962567755683924,-1.2207165304101442,-0.25,0.5070119738922814,1.7277285043024255,100,100,61.22506274391964,student_t,7.981277639617296,0.48672708949954335
BNZL.LSE,BNZL.LSE,Bunzl PLC,-0.19497321460781167,0.0875,0.3270017356754316,0.5219749502832433,-0.22447745110549322,0.175,0.5137066028040915,0.7381840539095847,-0.226757959478037,0.26249999999999996,0.677329174690779,0.904087134168816,-0.21494642921562335,0.35,0.8290034713508632,1.0439499005664865,61.413265490178105,100,36.99417935429502,student_t,10.139765837548092,0.6737812297063404
BOY.LSE,BOY.LSE,Bodycote PLC,-0.5008309130060777,0.03335693929240596,0.4696507988881334,0.9704817118942111,-0.6887418269906593,0.06671387858481193,0.6837265720051926,1.372468398995852,-0.8251696830898547,0.10007081787721789,0.8557539497273399,1.6809236328171946,-0.9349479474273434,0.13342775716962385,1.0060154763610787,1.9409634237884221,100,100,68.78141276778865,student_t,9.162313077801947,0.5920431293571246
BREE.LSE,BREE.LSE,Breedon Group PLC,-0.3143007700267323,0.0875,0.422778004392957,0.7370787744196893,-0.3932320983437578,0.175,0.649154700977906,1.0423867993216638,-0.43343934820659835,0.26249999999999996,0.8432185382689026,1.276657886475501,-0.45360154005346454,0.35,1.0205560087859138,1.4741575488393783,100,100,52.239335171792256,student_t,9.71642891645321,0.6392531529484334
BT-A.LSE,BT-A.LSE,BT Group Plc,-0.2622998020836401,0.0875,0.37822180966199825,0.6405216117456384,-0.3196916242221083,0.175,0.5861427261016474,0.9058343503237557,-0.34337102968640226,0.2625,0.7660449452029496,1.109415974889352,-0.3495996041672802,0.35,0.9314436193239966,1.2810432234912768,99.8856011906515,100,45.395993375471676,student_t,9.636048794527813,0.6305246868110934
BTRW.LSE,BTRW.LSE,Barratt Redrow plc,-0.5434920287616692,-0.04039727433570671,0.3420779612848915,0.8855699900465608,-0.7922779735393713,-0.08079454867141342,0.46010711681508165,1.2523850903544531,-0.9925774986942745,-0.12119182300712013,0.5412747177246334,1.533852216418908,-1.167778606194752,-0.16158909734282684,0.6033613738983696,1.7711399800931216,100,100,62.76342384780421,student_t,7.280090131960951,0.42660806351577946
BVA.LSE,BVA.LSE,Banco Bilbao Vizcaya Argentaria S.A,-0.6766548232002962,0.08410869759365738,0.7001680295794106,1.3768228527797068,-0.9076646936782007,0.16821739518731477,1.0394568577080763,1.947121551386277,-1.0653549777791376,0.2523260927809721,1.319372156257239,2.3847271340363765,-1.1850922512132778,0.33643479037462953,1.568553454346136,2.7536457055594137,100,100,97.58022205315729,student_t,8.932585897942943,0.5729331389920362
BWY.LSE,BWY.LSE,Bellway PLC,-0.58994552953721,-0.023955721548848626,0.4185249199572061,1.008470449494416,-0.8483419057197819,-0.04791144309769725,0.5778506812077129,1.4261925869274947,-1.052190268648541,-0.07186716464654588,0.694531787807611,1.7467220564561519,-1.2278025021721173,-0.0958228861953945,0.7891383968167149,2.016940898988832,100,100,71.47380666803737,student_t,8.004772124209648,0.4924927786386597
BYG.LSE,BYG.LSE,Big Yellow Group PLC,-0.33248586983535716,0.08221433193495208,0.4205345624702574,0.7530204323056146,-0.42204598579252617,0.16442866386990415,0.6428857223181251,1.0649317081106513,-0.4716388235703842,0.24664299580485627,0.8326308243204206,1.3042696478908047,-0.5005430758008103,0.3288573277398083,1.0054977888104188,1.506040864611229,100,100,53.36917588678579,student_t,9.144251170502445,0.5895229949654386
CCC.LSE,CCC.LSE,Computacenter PLC,-0.3981776281373101,0.061234309710644766,0.44508989452187775,0.8432675226591879,-0.5272379737993937,0.12246861942128953,0.665322393453991,1.1925603672533849,-0.6120218888243987,0.18370292913193428,0.848560304794054,1.4605821936184527,-0.6738866368533307,0.24493723884257906,1.0126484084650451,1.6865350453183758,100,100,59.76530092100765,student_t,9.750801362168716,0.6421175234247256
CCH.LSE,CCH.LSE,Coca Cola HBC AG,-0.27397102763596154,0.0378023469077947,0.3020623540633323,0.5760333816992939,-0.36530944085101735,0.0756046938155894,0.4493247799277619,0.8146342207787792,-0.4266002844336029,0.1134070407233841,0.5711187995252903,0.9977190839588932,-0.4723373614563337,0.1512093876311788,0.679729401942254,1.1520667633985877,100,100,40.82548832100318,student_t,10.12353003361857,0.6730949127122136
CHG.LSE,CHG.LSE,Chemring Group PLC,-0.5414365111330999,-0.0625,0.3188312429017213,0.8602677540348211,-0.8023185095600829,-0.125,0.41428381546820336,1.2166023250282862,-1.0170423708823062,-0.18750000000000003,0.4729850872191701,1.4900274581014763,-1.2078730222661997,-0.25,0.5126624858034426,1.7205355080696423,100,100,60.97016641931062,student_t,8.519661874288024,0.5346195011280808
CKN.LSE,CKN.LSE,Clarkson,-0.23919441206246334,0.05313541430813845,0.30038034527598767,0.5395747573384511,-0.3071459765232002,0.1062708286162769,0.4559279632190089,0.763073939742209,-0.3469238689172551,0.15940624292441535,0.5876470252745898,0.9345708941918449,-0.37211799550864977,0.2125416572325538,0.7070315191682522,1.0791495146769021,100,100,38.241538865413396,student_t,10.070531509403471,0.6684561468053996
CMCX.LSE,CMCX.LSE,CMC Markets PLC,-0.8909606086111286,-0.017536173924170027,0.6904261527526921,1.5813867613638206,-1.2702810290906905,-0.035072347848340055,0.9661375761872902,2.2364186052779806,-1.5654240192224467,-0.052608521772510075,1.1736181978764904,2.739042217098937,-1.816993565070597,-0.07014469569668011,1.3457799576570444,3.1627735227276412,100,100,100,student_t,8.970783548843428,0.5750618570424202
