security_id,ticker,company_name,country,region,sector,currency,current_weight,target_weight,weight_change,trade_action,trade_size_usd,expected_total_return_12m,expected_dividend_return_12m,p5_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,regime_suitability_score,portfolio_fit_score,final_recommendation_score,risk_flags,trade_rationale,expected_portfolio_impact
AD.AS,AD.AS,Koninklijke Ahold Delhaize NV,Netherlands,EU ex-DACH,Consumer Staples,EUR,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.0424,-0.18555563936210617,-0.02470369131101341,-0.0973249866938002,-0.0973249866938002,0.24258947602625425,0.29533143263123873,73.62097779445419,68.24960448853264,65.09805454662451,narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
601818.SHG,601818.SHG,China Everbright Bank Co Ltd,China,Mainland China,Financials,CNY,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.0572,-0.06757608338012083,0.05710414086672766,0.0003740717792918777,0.0003740717792918777,0.2616099420606904,0.2943349756092975,79.17942441904314,92.48183866426585,60.55406228497199,narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
600018.SHG,600018.SHG,Shanghai International Port Group Co Ltd,China,Mainland China,Industrials,CNY,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.29700839698161446,0.0375,-0.08107936943632327,0.02850478277549562,-0.023602410005164692,-0.023602410005164692,0.2575256188417568,0.2729213700167606,45.05179424836362,85.8271819019762,57.17570663440752,narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.014850419849080728
CS.PA,CS.PA,AXA SA,France,EU ex-DACH,Financials,EUR,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.0519,-0.12021169245149443,0.02259677649858305,-0.040779091537395645,-0.040779091537395645,0.28694327539402376,0.2899870030647445,79.67061499864242,81.33545478682232,60.03674001112383,alt_data_review;narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
ESSITY-B.ST,ESSITY-B.ST,Essity AB (publ),Sweden,EU ex-DACH,Consumer Staples,SEK,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.031,-0.12572886254420113,0.017684779904204473,-0.04667428753310629,-0.04667428753310629,0.2675130962848147,0.2927992705720121,49.929971504524495,74.23208508402803,59.00150107958138,narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
HEN3.XETRA,HEN3.XETRA,Henkel AG & Co. KGaA vz. (Pref Shares),Germany,DACH,Consumer Staples,EUR,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.027000000000000003,-0.15450859262271843,-0.0027896406814518215,-0.07112971661751379,-0.07112971661751379,0.23995754072925912,0.30235742687907896,55.2203138496814,62.96189584427794,60.75371697323173,narrative_review;ml_drawdown_risk;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
LI.PA,LI.PA,Klepierre SA,France,EU ex-DACH,Real Estate,EUR,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.0475,-0.07912621932769431,0.05297769605193542,-0.004459978760890229,-0.004459978760890229,0.3491810621174677,0.2736877567500407,60.82280790494974,81.52857176257126,59.69041525141806,narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
MCD.US,MCD.US,McDonald’s Corporation,United States,US,Consumer Discretionary,USD,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.027200000000000002,-0.11446491819062948,0.02322654480906855,-0.040129429599623526,-0.040129429599623526,0.24968089086778844,0.2876779867223422,61.823050538096076,85.35963934774085,63.9088490346246,narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
ORA.PA,ORA.PA,Orange S.A.,France,EU ex-DACH,Communication Services,EUR,0.0,0.049999999999999725,0.049999999999999725,Buy,4026.9999999999777,0.35,0.0472,-0.23537474548143056,-0.053718238358207604,-0.1318098390926971,-0.1318098390926971,0.28098065780606746,0.3009231489661977,64.3145820960712,79.69672440165829,64,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.0174999999999999
0002.HK,0002.HK,CLP Holdings,Hong Kong,Hong Kong,Utilities,HKD,0.03973181028060591,0.0,-0.03973181028060591,Avoid / Exit,-3200.0,0.20952566338667417,0.04190000000000001,-0.07734095837899152,0.0077880975109961,-0.03128257947959757,-0.03128257947959757,0.3410784818070371,0.259978961470874,43.639131779262556,91.42297440741471,55.38970432427017,narrative_review;narrative_exclusion;,"Avoid: excluded by liquidity, recommendation, regime, narrative or alternative-data controls.",-0.008324833906597435
2318.HK,2318.HK,Ping An Insurance,Hong Kong,Hong Kong,Financials,HKD,0.0,0.0,0.0,Hold,0.0,0.35,0.0533,-0.40818526452357884,-0.15990943571335692,-0.25819821731806697,-0.25819821731806697,0.28694327539402376,0.33642862784978195,82.63519707549852,88.1021940613413,64,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;cvar_risk;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
PRU.US,PRU.US,"Prudential Financial, Inc.",United States,US,Financials,USD,0.0,0.0,0.0,Hold,0.0,0.35,0.0466,-0.26097782832198446,-0.06627786668426999,-0.14662757708891955,-0.14662757708891955,0.30027660872735706,0.31596577224615835,77.66553331613017,89.96968616262482,64,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
1113.HK,1113.HK,CK Asset Holdings Ltd,Hong Kong,Hong Kong,Real Estate,HKD,0.0,0.0,0.0,Hold,0.0,0.35,0.038,-0.23883695159558638,-0.05460376410164641,-0.1328063914404064,-0.1328063914404064,0.2799575407292591,0.31004062074146893,60.75938416058264,88.61039662910164,64,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
600919.SHG,600919.SHG,Bank of Jiangsu Co Ltd,China,Mainland China,Financials,CNY,0.0,0.0,0.0,Hold,0.0,0.35,0.048,-0.13087285070413412,0.01099008277732233,-0.05477840086055662,-0.05477840086055662,0.2513877198384682,0.27961304724796954,84.23081192760881,91.76696705228298,64.24676147910728,narrative_review;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
0939.HK,0939.HK,China Construction Bank Corp,Hong Kong,Hong Kong,Financials,HKD,0.0,0.0,0.0,Hold,0.0,0.35,0.0495,-0.1937796380471858,-0.029376824153224623,-0.10290184696854261,-0.10290184696854261,0.2824988309495793,0.2779107848666696,85.11813312776988,92.54887737089908,65.06928644302178,narrative_review;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
601398.SHG,601398.SHG,Industrial and Commercial Bank of China Ltd,China,Mainland China,Financials,CNY,0.0,0.0,0.0,Hold,0.0,0.35,0.040999999999999995,-0.11661513858224809,0.01903127041847208,-0.045236002048831006,-0.045236002048831006,0.24194327539402372,0.27265334068095964,87.73616886859945,90.34328659579225,67.32871719832275,narrative_review;,Hold: acceptable risk-adjusted return but limited incremental portfolio benefit.,0.0
