security_id,ticker,company_name,dividend_cut_probability,dividend_sustainability_score,dividend_growth_probability,dividend_risk_model_confidence
SRE.LSE,SRE.LSE,Sirius Real Estate Limited,0.3766343948946545,62.336560510534554,0.34690154461273576,0.78
SRP.LSE,SRP.LSE,Serco Group,0.24440198517370354,75.55980148262964,0.5428115174509746,0.68
SSE.LSE,SSE.LSE,SSE PLC,0.6371936575034781,36.28063424965219,0,0.78
SSPG.LSE,SSPG.LSE,SSP Group PLC,0.6593466210056792,34.06533789943208,0.07635478757652764,0.78
STAN.LSE,STAN.LSE,Standard Chartered PLC,0.2904988309495793,70.95011690504207,0.5319665491003723,0.68
STJ.LSE,STJ.LSE,St. James's Place plc,0.24194327539402372,75.80567246059763,0.4407770512774084,0.68
SVS.LSE,SVS.LSE,Savills,0.2597737698462042,74.02262301537958,0.4495232825586396,0.68
SVT.LSE,SVT.LSE,Severn Trent PLC,0.6858597629514814,31.414023704851857,0,0.78
TATE.LSE,TATE.LSE,Tate & Lyle PLC,0.4487506199522526,55.124938004774734,0.19760000195417154,0.78
TCAP.LSE,TCAP.LSE,TP ICAP Group PLC,0.3341806160409777,66.58193839590223,0.3269650899909736,0.68
TFIF.LSE,TFIF.LSE,TwentyFour Income Fund Ltd,0.7901100701392806,20.988992986071942,0,0.78
TPK.LSE,TPK.LSE,Travis Perkins PLC,0.6834720018211947,31.652799817880528,0,0.78
TRIG.LSE,TRIG.LSE,Renewables Infrastructure Grp,0.613360004063393,38.663999593660705,0,0.78
TSCO.LSE,TSCO.LSE,Tesco PLC,0.24591241795281144,75.40875820471886,0.4384369068850838,0.68
TW.LSE,TW.LSE,Taylor Wimpey PLC,0.6051703814174881,39.48296185825119,0.028437791983269366,0.78
ULVR.LSE,ULVR.LSE,Unilever PLC,0.3588197629514813,64.11802370485186,0.3671070310419228,0.78
UTG.LSE,UTG.LSE,Unite Group PLC,0.95,5.000000000000004,0,0.78
UU.LSE,UU.LSE,United Utilities Group PLC,0.7060407050787161,29.395929492128392,0,0.78
VALT.LSE,VALT.LSE,Valterra Platinum Limited,0.46195754072925915,53.80424592707409,0.18804245927074087,0.78
VSVS.LSE,VSVS.LSE,Vesuvius PLC,0.6573243529293302,34.26756470706698,0,0.78
WEIR.LSE,WEIR.LSE,Weir Group PLC,0.24529087406259242,75.47091259374076,0.461834366178019,0.68
WTB.LSE,WTB.LSE,Whitbread PLC,0.7140203985653876,28.597960143461243,0,0.78
ZIG.LSE,ZIG.LSE,ZIGUP plc,0.7232029134477357,27.67970865522643,0,0.78
BARC.LSE,BARC.LSE,Barclays PLC,0.24194327539402372,75.80567246059763,0.5766422506333692,0.68
BME.LSE,BME.LSE,B&M European Value Retail SA,0.4249186251550509,57.5081374844949,0.3855431374286309,0.78
BP.LSE,BP.LSE,BP PLC,0.4563128217859414,54.368717821405866,0.28181876391303046,0.78
CRDA.LSE,CRDA.LSE,Croda International PLC,0.5858928090092533,41.41071909907467,0.12349996889411355,0.78
DGE.LSE,DGE.LSE,Diageo PLC,0.5222211364447836,47.77788635552164,0.21482407854937857,0.78
GFTU.LSE,GFTU.LSE,Grafton Group plc,0.23862420739592577,76.13757926040743,0.5306031903064435,0.68
HSBA.LSE,HSBA.LSE,HSBC Holdings PLC,0.24194327539402372,75.80567246059763,0.537074179812265,0.68
IMB.LSE,IMB.LSE,Imperial Brands PLC,0.3047308740625924,69.52691259374075,0.4910675910405118,0.68
RIO.LSE,RIO.LSE,Rio Tinto PLC,0.35339175448757354,64.66082455124264,0.3114289156355773,0.78
SN.LSE,SN.LSE,Smith & Nephew PLC,0.2879575407292591,71.20424592707408,0.4459938551467038,0.68
TTE.LSE,TTE.LSE,TotalEnergies SE,0.29778858573432965,70.22114142656703,0.39278022106852317,0.68
VOD.LSE,VOD.LSE,Vodafone Group PLC,0.5566470261484658,44.33529738515342,0.1993231064125845,0.78
WPP.LSE,WPP.LSE,WPP PLC,0.678257734510627,32.1742265489373,0,0.78
GLEN.LSE,GLEN.LSE,Glencore PLC,0.6104933209996994,38.950667900030055,0,0.78
IAG.LSE,IAG.LSE,International Consolidated Airlines Group S.A,0.20874048254231742,79.12595174576826,0.545724594513378,0.68
ANDR.VI,ANDR.VI,Andritz AG,0.2799575407292591,72.00424592707408,0.415284350344457,0.68
DOC.VI,DOC.VI,DO & CO Aktiengesellschaft,0.2719575407292591,72.80424592707408,0.4681221749680242,0.68
MMK.VI,MMK.VI,Mayr-Melnhof Karton AG,0.5730014999945844,42.69985000054156,0,0.78
OMV.VI,OMV.VI,OMV Aktiengesellschaft,0.23342867050703686,76.65713294929631,0.4623620566180674,0.68
POS.VI,POS.VI,PORR AG,0.2529314068028154,74.70685931971846,0.4719762729685608,0.68
RBI.VI,RBI.VI,Raiffeisen Bank International AG,0.2513877198384682,74.86122801615318,0.5601790436396972,0.68
STR.VI,STR.VI,Strabag SE,0.2719575407292591,72.80424592707408,0.46313775100982385,0.68
UQA.VI,UQA.VI,UNIQA Insurance Group AG,0.28694327539402376,71.30567246059762,0.466324999156519,0.68
VER.VI,VER.VI,VERBUND AG,0.346904601572318,65.30953984276819,0.2778158348563283,0.68
VIG.VI,VIG.VI,Vienna Insurance Group AG,0.26526497059018045,73.47350294098196,0.3361481644178264,0.68
VOE.VI,VOE.VI,Voestalpine AG,0.2367472603554273,76.32527396445727,0.4642145573666716,0.68
WIE.VI,WIE.VI,Wienerberger AG,0.3395608951571171,66.04391048428828,0.4251998659076377,0.68
TBCG.LSE,TBCG.LSE,TBC Bank Group PLC,0.5169432753940237,48.30567246059763,0.13305672460597628,0.78
AAK.ST,AAK.ST,AAK AB,0.5995155788396885,40.04844211603115,0,0.78
ABB.ST,ABB.ST,ABB Ltd,0.2852908740625924,71.47091259374076,0.3799963820186022,0.68
ADDT-B.ST,ADDT-B.ST,Addtech AB (publ.),0.2269575407292591,77.30424592707409,0.47306217449244214,0.68
ALFA.ST,ALFA.ST,Alfa Laval AB,0.2426255218299188,75.73744781700812,0.4018161842103735,0.68
ALIV-SDB.ST,ALIV-SDB.ST,Autoliv Inc,0.24440198517370354,75.55980148262964,0.4758536650250219,0.68
ASSA-B.ST,ASSA-B.ST,ASSA ABLOY AB (publ),0.2932908740625924,70.67091259374077,0.4366339940608706,0.68
